id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
2998689	Rastvakt	Tor	1430	20	KM,EP							0	33-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998515	Mentor time	Tor	1435	30	JA,HO	8d	302					0	34-42, 45, 48-51, 3-7, 9-13, 15-17, 19, 21-24	
2997941	EN	Tor	1445	60	LL	7b	107					0	34-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998550	No-Lab	Tor	1445	60	LM	7a:b	No-lab 2	VT				0	3-7, 9-13, 15-17, 19, 21-24	
2998651	No-Lab	Tor	1445	60	LM	7a:a	No-lab 2	HT				0	34-42, 45-51	
2997595	FY	Tor	1450	60	NK	8a	204			34-42		0	34-42	
2997596	TK	Tor	1450	60	NK	8a	204			45, 48-51		0	45, 48-51	
2997597	KE	Tor	1450	60	NK	8a	204			3-7, 9-12		0	3-7, 9-12	
2997598	BI	Tor	1450	60	NK	8a	204			13, 15-17, 19, 21-24		0	13, 15-17, 19, 21-24	
2997677	HI	Tor	1450	60	JH	8b	202			34-41		0	34-41	
2997678	RE	Tor	1450	60	JH	8b	202			42, 45, 48-50		0	42, 45, 48-50	
2997679	GE	Tor	1450	60	JH	8b	202			3-7, 9-11		0	3-7, 9-11	
2997680	SH	Tor	1450	60	JH	8b	202			12-13, 15-17, 19, 21-23		0	12-13, 15-17, 19, 21-23	
3027662	SFI	Tor	1500	60	KBE							0	33-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998254	Modersmål	Tor	1550	60			105					0	33-43, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998555	Modersmål	Tor	1600	60			104					0	33-43, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2996903	Breakfast/School Yard/JS	Fre	0700	90	MÅ							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2996920	Arbetstid	Fre	0700	480	MÅ							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2996935	Arbetstid	Fre	0700	480	MG							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
2998703	Arbetstid	Fre	0720	300	ANN							0	33-41, 43, 45-51, 3-7, 9-13, 15-17, 19, 21-23	
